"Anho","Mes","1. Imacec","2. Producción de bienes","2.1. Minería","2.2. Industria","2.3. Resto de bienes","3. Comercio","4. Servicios","5. Imacec a costo de factores","6. Impuestos sobre los productos","7. Imacec no minero","Mes_num","Fecha","IMACEC_SA","Var_m_m_SA","Var_a_a_NSA"
2015,"Junio",92.12310271504,91.383576712735,104.92904226703,94.560433592647,80.020609692833,90.512929773737,94.127836335567,92.724481921813,86.865506599168,90.990468940466,6,2015-06-01,2.84868333091875e+40,8.78483408317368,2.43766586314929
2015,"Julio",88.232189331156,86.908277718227,93.472519646113,92.477752700188,78.696874156891,88.53701136797,89.251043593585,88.299700804895,87.650216357933,87.862823276493,7,2015-07-01,2.47335725478132e+40,-13.1754229072693,2.49522769044261
2015,"Agosto",90.887565653383,85.902816186672,89.44525483548,90.094887323911,80.891045769357,84.843994386877,95.550064123322,90.937100738927,90.463325352621,91.203734437518,8,2015-08-01,2.30647808441724e+40,-6.74707101214264,1.36454348731017
2015,"Septiembre",89.980522844027,88.019362127413,97.827840495302,89.839875084164,80.333095114098,85.347875312844,92.703081307907,90.213976196653,87.945285015636,89.348906130631,9,2015-09-01,6.89045217166765e+40,198.743448646667,2.97586018104279
2015,"Octubre",95.133622445127,92.352295475132,101.60888580997,95.731226588186,83.916193106016,92.159565366646,97.948045425997,95.297269477459,93.710349339219,94.651339322274,10,2015-10-01,7.15695645461563e+40,3.86773286147757,1.1893227240743
2015,"Noviembre",97.435243681301,94.089060822775,98.846821020579,96.349366542746,89.736910278632,94.330130214383,101.30822194688,97.951775185647,92.921373439225,97.472955106385,11,2015-11-01,5.72599693948677e+40,-19.9939670473475,2.20220812700072
2015,"Diciembre",101.43097211928,103.86390737391,107.59077832885,99.315866119384,105.48727487492,113.98771878688,94.939731676889,100.08911974912,113.19471893296,100.99254530259,12,2015-12-01,4.91548868749326e+40,-14.1548844779187,2.08529068429006
2016,"Enero",92.04021157562,101.2929008554,95.999335996027,91.00571860985,112.39742592348,94.152256329928,87.25175954764,92.821412728808,85.247111739442,91.762854385726,1,2016-01-01,1.39806966980092e+41,184.421297389638,1.82026647213485
2016,"Febrero",90.787971409841,106.50259025154,92.960243455783,91.819114304002,125.68728142693,89.305984641373,82.020477618406,91.237690128547,86.872800523991,90.653951647819,2,2016-02-01,4.99885093025869e+40,-64.2446221512658,4.27290893351546
2016,"Marzo",100.12410425305,107.56044411985,99.507722782692,100.48188421908,117.72878302937,100.00619952388,96.897032236046,100.89414493392,93.426922235454,100.21887324187,3,2016-03-01,1.21128464572539e+41,142.312615964066,2.8272719258605
